BPL,BPLD,CITIZEN,EDUC,EDUCD,CLASSWKR,CLASSWKRD,INCTOT
518,51800,2,6,63,0,0,"9800
"
518,51800,2,10,101,2,22,"62000
"
200,20000,2,3,30,2,22,"0
"
150,15000,2,6,65,0,0,"6000
"
465,46500,2,8,81,2,22,"26000
"
500,50040,2,8,81,2,22,"2000
"
434,43400,1,1,14,0,0,"9999999
"
300,30015,2,11,115,2,23,"240000
"
150,15000,2,11,114,1,13,"42400
"
100,10010,2,3,30,1,13,"81500
"
501,50100,1,11,114,2,23,"95010
"
200,20000,2,7,71,2,22,"25000
"
150,15000,2,10,101,2,22,"156040
"
521,52100,2,11,116,2,22,"389500
"
521,52100,2,11,115,1,14,"242000
"
453,45300,2,10,101,2,22,"389050
"
600,60057,2,10,101,0,0,"0
"
453,45300,1,3,30,0,0,"0
"
210,21050,1,6,65,2,22,"25000
"
200,20000,2,6,63,0,0,"0
"
150,15000,2,11,114,2,22,"90000
"
200,20000,2,2,26,2,22,"40000
"
500,50010,2,11,114,2,23,"39230
"
500,50000,2,2,22,0,0,"11000
"
522,52200,2,11,114,2,28,"150000
"
522,52200,2,10,101,0,0,"0
"
450,45000,2,11,115,2,22,"37800
"
453,45300,2,6,63,2,22,"47900
"
200,20000,2,6,61,2,22,"20600
"
200,20000,1,6,63,0,0,"0
"
515,51500,2,10,101,0,0,"0
"
150,15000,2,6,63,1,14,"80500
"
150,15000,2,10,101,2,28,"11000
"
150,15000,2,6,65,0,0,"0
"
210,21040,2,10,101,2,22,"40000
"
210,21030,2,2,25,2,22,"9800
"
434,43400,2,6,63,0,0,"29000
"
515,51500,2,7,71,0,0,"8400
"
515,51500,2,6,63,0,0,"0
"
500,50000,2,11,116,2,22,"200000
"
500,50000,2,11,114,2,22,"120000
"
465,46500,2,7,71,0,0,"9200
"
515,51500,2,7,71,2,22,"2000
"
410,41000,2,6,65,2,22,"41000
"
200,20000,2,5,50,0,0,"12000
"
515,51500,2,7,71,2,22,"67000
"
500,50010,2,10,101,0,0,"0
"
200,20000,2,6,65,2,22,"66000
"
200,20000,2,6,63,2,22,"17200
"
515,51500,2,4,40,0,0,"0
"
453,45300,1,6,63,0,0,"26400
"
600,60023,2,11,115,2,27,"16700
"
518,51800,2,7,71,2,22,"57900
"
518,51800,2,7,71,1,13,"20200
"
200,20000,2,7,71,1,14,"50150
"
200,20000,2,2,22,0,0,"22800
"
200,20000,2,6,63,2,22,"30000
"
200,20000,2,10,101,2,22,"80000
"
200,20000,1,10,101,2,22,"200000
"
521,52130,2,0,2,0,0,"9300
"
200,20000,1,2,26,0,0,"9999999
"
200,20000,1,1,11,0,0,"9999999
"
515,51500,2,8,81,1,13,"27700
"
300,30050,2,10,101,2,22,"120000
"
300,30050,2,10,101,2,23,"12000
"
150,15000,2,6,63,0,0,"18500
"
515,51500,2,10,101,2,22,"41900
"
515,51500,2,10,101,2,25,"92000
"
200,20000,1,5,50,2,22,"6000
"
200,20000,1,2,25,0,0,"9999999
"
200,20000,1,2,22,0,0,"9999999
"
210,21020,1,10,101,2,22,"200000
"
500,50000,2,7,71,2,27,"20000
"
500,50000,2,5,50,2,22,"12000
"
518,51800,1,10,101,2,22,"54000
"
150,15000,2,10,101,2,22,"45600
"
410,41000,2,10,101,2,22,"120000
"
200,20000,2,0,2,2,22,"990
"
200,20000,2,0,2,2,22,"8800
"
200,20000,2,7,71,2,23,"2000
"
200,20000,2,6,61,0,0,"0
"
200,20000,2,2,23,2,27,"7000
"
150,15000,2,6,63,2,22,"24000
"
453,45300,1,11,114,2,22,"130000
"
453,45300,1,10,101,2,22,"7500
"
200,20000,2,6,61,0,0,"17300
"
200,20000,2,11,114,2,22,"38000
"
518,51800,2,11,114,1,13,"19200
"
200,20000,2,6,63,2,22,"95000
"
600,60053,2,0,2,0,0,"7500
"
600,60053,2,8,81,2,22,"17000
"
600,60053,2,10,101,2,22,"15000
"
200,20000,2,6,64,0,0,"26900
"
200,20000,2,2,26,0,0,"3200
"
200,20000,2,4,40,2,22,"35000
"
260,26060,2,10,101,2,23,"100000
"
260,26060,2,11,114,1,14,"0
"
541,54100,2,10,101,0,0,"6200
"
541,54100,2,6,63,0,0,"0
"
200,20000,2,6,64,2,29,"15000
"
200,20000,2,11,114,2,28,"91000
"
200,20000,2,6,65,0,0,"0
"
200,20000,2,0,2,0,0,"11400
"
200,20000,2,0,2,0,0,"5800
"
200,20000,2,6,63,0,0,"9500
"
453,45300,1,7,71,2,22,"80000
"
