BPL,BPLD,CITIZEN,EDUC,EDUCD,CLASSWKR,CLASSWKRD,INCTOT
200,20000,3,3,30,0,0,"0
"
200,20000,3,6,64,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
200,20000,3,0,2,0,0,"0
"
521,52100,3,6,63,0,0,"0
"
200,20000,3,11,114,2,22,"0
"
200,20000,3,2,26,0,0,"0
"
200,20000,3,10,101,0,0,"0
"
200,20000,3,6,63,2,22,"0
"
200,20000,3,2,26,0,0,"0
"
600,60045,3,6,63,0,0,"0
"
600,60045,3,4,40,0,0,"0
"
465,46500,3,10,101,2,25,"0
"
200,20000,3,2,23,0,0,"0
"
200,20000,3,3,30,0,0,"0
"
521,52100,3,11,114,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
210,21040,3,6,63,0,0,"0
"
210,21040,3,5,50,0,0,"0
"
500,50000,3,8,81,2,22,"0
"
200,20000,3,7,71,2,22,"0
"
210,21040,3,5,50,0,0,"0
"
150,15000,3,8,81,2,23,"0
"
150,15000,3,6,63,0,0,"0
"
150,15000,3,6,64,0,0,"0
"
200,20000,3,3,30,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
200,20000,3,2,22,0,0,"0
"
200,20000,3,6,61,0,0,"0
"
300,30025,3,0,2,0,0,"0
"
150,15000,3,7,71,0,0,"0
"
150,15000,3,6,61,1,13,"0
"
300,30015,3,11,115,2,22,"0
"
514,51400,3,6,63,0,0,"0
"
200,20000,3,1,16,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
200,20000,3,2,26,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
456,45600,3,4,40,1,13,"0
"
500,50000,3,7,71,2,22,"0
"
200,20000,3,6,63,0,0,"0
"
200,20000,3,1,16,0,0,"0
"
150,15000,3,6,64,0,0,"0
"
150,15000,3,6,64,0,0,"0
"
200,20000,3,6,63,2,22,"0
"
300,30025,3,11,114,0,0,"0
"
200,20000,3,6,65,0,0,"0
"
544,54400,3,6,63,0,0,"0
"
200,20000,3,10,101,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
434,43400,3,7,71,0,0,"0
"
200,20000,3,3,30,0,0,"0
"
260,26030,3,5,50,0,0,"0
"
150,15000,3,6,63,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
453,45300,3,6,63,0,0,"0
"
200,20000,3,7,71,0,0,"0
"
250,25000,3,4,40,0,0,"0
"
521,52100,3,10,101,0,0,"0
"
502,50200,3,10,101,0,0,"0
"
200,20000,3,11,114,0,0,"0
"
465,46543,3,0,2,0,0,"0
"
521,52100,3,10,101,0,0,"0
"
200,20000,3,0,2,0,0,"0
"
200,20000,3,6,61,0,0,"0
"
200,20000,3,6,64,0,0,"0
"
521,52100,3,6,65,0,0,"0
"
